danceability_avg,energy_avg,loudness_avg,speechiness_avg,acousticness_avg,instrumentalness_avg,liveness_avg,valence_avg,tempo_avg,week
0.6352187499999998,0.67228125,-9.773062499999996,0.0545999999999999,0.1546771249999999,0.0298018635416666,0.155859375,0.6252604166666667,115.92284375000004,1990-01-06
0.6389684210526315,0.6666842105263158,-9.78132631578947,0.0550084210526315,0.1514000421052631,0.0301389026315789,0.1530610526315789,0.6216736842105263,116.5585052631579,1990-01-13
0.6395894736842105,0.675136842105263,-9.552052631578944,0.057158947368421,0.1515064736842104,0.0215841515789473,0.1594294736842105,0.6135894736842105,116.78266315789472,1990-01-20
0.6378829787234043,0.6817446808510638,-9.437329787234042,0.0588978723404255,0.1425772765957445,0.019171764893617,0.1594787234042552,0.6087127659574469,117.43512765957448,1990-01-27
0.6431052631578947,0.6766105263157892,-9.439842105263155,0.0579810526315789,0.1539848842105262,0.0194967615789473,0.1577768421052631,0.6134315789473685,118.63737894736842,1990-02-03
0.6376947368421051,0.6770842105263154,-9.472494736842105,0.0581063157894737,0.1577875157894736,0.0194893342105263,0.1607178947368421,0.6172421052631579,118.28746315789472,1990-02-10
0.6421473684210528,0.6776105263157891,-9.42637894736842,0.0581326315789473,0.1573366421052631,0.0204524388421052,0.1594863157894736,0.6160526315789474,117.97044210526316,1990-02-17
0.6450315789473685,0.6800526315789471,-9.37931578947368,0.0595073684210526,0.1662782210526315,0.0206747059999999,0.1576926315789473,0.6134315789473687,117.57491578947368,1990-02-24
0.6410104166666667,0.6824270833333331,-9.416989583333333,0.0566375,0.1657065729166666,0.0213900989583333,0.1597375,0.6168229166666669,119.3122083333334,1990-03-03
0.6402395833333332,0.6729687499999999,-9.607781249999997,0.056265625,0.17224834375,0.0201191558333333,0.1585010416666667,0.6051354166666667,118.43093750000004,1990-03-10
0.6366666666666667,0.6698229166666665,-9.700010416666666,0.051475,0.16705115625,0.0207743995833333,0.1623625,0.6035208333333334,118.7303125,1990-03-17
0.6362395833333334,0.6767708333333333,-9.702531250000002,0.0514333333333333,0.1625068645833333,0.0203292359375,0.1582010416666667,0.6051458333333335,118.50857291666664,1990-03-24
0.6362315789473683,0.680378947368421,-9.671821052631577,0.0510842105263157,0.1651866947368421,0.0188943143157894,0.1625631578947368,0.6194315789473683,119.18972631578944,1990-03-31
0.6413263157894735,0.6817578947368419,-9.664305263157893,0.0494936842105263,0.1688394315789474,0.0261170817894736,0.1707115789473684,0.6476105263157895,118.8914,1990-04-07
0.6447812499999998,0.6746145833333332,-9.674229166666668,0.049840625,0.1583442916666667,0.0291932257291666,0.1611385416666667,0.6382916666666668,118.86576041666667,1990-04-14
0.6445312499999999,0.6834687499999998,-9.53378125,0.0505104166666666,0.1552798125,0.0290324252083333,0.1643875,0.6394166666666667,119.33653124999996,1990-04-21
0.6385789473684208,0.6599684210526315,-9.91597894736842,0.0535947368421052,0.1572745389473684,0.0487294635789473,0.16004,0.617842105263158,119.2638631578947,1990-04-28
0.6412105263157896,0.6648,-9.805526315789471,0.0589631578947368,0.1561198021052631,0.0429601272631578,0.1618747368421052,0.6200315789473686,118.94413684210524,1990-05-05
0.6411808510638298,0.6760425531914892,-9.637531914893614,0.0598904255319148,0.1414110765957447,0.038806989787234,0.1736648936170212,0.6270957446808513,118.93015957446812,1990-05-12
0.6463510638297871,0.6731170212765959,-9.5863829787234,0.0594968085106383,0.1449501617021276,0.0389219803191489,0.1824468085106382,0.6317659574468086,117.71367021276596,1990-05-19
0.6386881720430108,0.667731182795699,-9.54679569892473,0.0604129032258064,0.1525926365591398,0.0392562113978494,0.1949505376344085,0.6200537634408603,117.42966666666676,1990-05-26
0.6366129032258063,0.6624838709677416,-9.693247311827957,0.0604602150537634,0.1501067440860215,0.0387560919354838,0.1940225806451612,0.6183763440860215,116.83673118279576,1990-06-02
0.633806451612903,0.6713118279569891,-9.608999999999998,0.0597182795698924,0.1464949161290322,0.0379879940860215,0.1932709677419354,0.6104623655913981,116.46151612903228,1990-06-09
0.6331413043478261,0.6671739130434781,-9.618978260869564,0.0585608695652173,0.1537429152173913,0.0360591375,0.1959619565217391,0.6140760869565218,117.00811956521738,1990-06-16
0.6152391304347826,0.6904130434782608,-9.467336956521738,0.0589565217391304,0.1499971695652174,0.0363247704347826,0.199525,0.6183478260869564,121.0532608695652,1990-06-23
0.6216451612903224,0.6874516129032258,-9.532580645161293,0.063963440860215,0.1518899956989247,0.0334590265591398,0.2009204301075269,0.6100548387096775,122.30629032258064,1990-06-30
0.6216170212765956,0.6872659574468084,-9.57248936170213,0.0626117021276595,0.1521464851063829,0.0331115242553191,0.1978276595744681,0.6043627659574469,121.12371276595742,1990-07-07
0.6213404255319149,0.6891702127659572,-9.658265957446812,0.0631989361702127,0.1477664957446808,0.0338612952127659,0.1818638297872339,0.593831914893617,121.49018085106384,1990-07-14
0.636557894736842,0.6924736842105262,-9.670978947368424,0.0675105263157894,0.1252000063157894,0.0335480154736842,0.1842831578947368,0.6232652631578947,119.65870526315794,1990-07-21
0.6354105263157893,0.6939894736842104,-9.686273684210528,0.0670168421052631,0.1226081852631578,0.0177475944210526,0.1798463157894736,0.6235810526315788,118.59555789473691,1990-07-28
0.6286874999999997,0.6948958333333332,-9.39403125,0.0656468749999999,0.1287942145833333,0.0149146070833333,0.173903125,0.62779375,118.9245833333334,1990-08-04
0.6303999999999997,0.7043473684210525,-9.190442105263156,0.0640905263157894,0.1315298799999999,0.0088537008421052,0.1741484210526315,0.63976,119.12551578947374,1990-08-11
